date,phase,owner,area,task,priority,status,notes
2026-05-22,grupo_aberto,Marketing,WhatsApp,Abrir grupo oficial do WMC 2,crítica,pendente,Fixar regras e mensagem de boas-vindas
2026-05-22,grupo_aberto,Coordenação,Métricas,Registrar membros iniciais do grupo,alta,pendente,Atualizar metas.csv e dashboard_base.csv com dado real
2026-05-23,aquecimento,Marketing,Instagram,Publicar chamada direta para grupo,alta,pendente,CTA para grupo oficial
2026-05-24,aquecimento,Marketing,Base quente,Convidar base existente para o grupo,alta,pendente,Sem spam e sem promessa agressiva
2026-05-25,aquecimento,Marketing,Conteúdo,Publicar carrossel de tese,alta,pendente,CTA para grupo
2026-05-25,aquecimento,Coordenação,Métricas,Calcular projeção 300/500,alta,pendente,Ativar compensação se projeção estiver abaixo de 300
2026-05-26,aquecimento,Programação,Kiwify,Criar produto WMC 2 com checkout em rascunho,alta,pendente,Preço R$247
2026-05-27,aquecimento,Mr.Saizen,YouTube,Gravar vídeo principal,alta,pendente,Tese sobre treino avançado
2026-05-28,aquecimento,Marketing,Conteúdo,Publicar prova ou bastidor autorizado,alta,pendente,Sem overclaim
2026-05-29,aquecimento,Marketing,YouTube,Publicar vídeo principal,alta,pendente,CTA para grupo
2026-05-30,aquecimento,Marketing,WhatsApp,Enviar mini-aula no grupo,alta,pendente,Pergunta ao final
2026-05-31,aquecimento,Coordenação,Métricas,Revisar média diária necessária até 05/06,alta,pendente,Comparar com 300 e 500
2026-06-01,aquecimento,Marketing,Contingência,Ativar plano de compensação se projeção estiver abaixo de 300,crítica,pendente,Stories base quente prova e remarketing
2026-06-02,aquecimento,Suporte,FAQ,Levantar objeções recorrentes,alta,pendente,Usar DMs comentários e grupo
2026-06-04,vespera_carrinho,Marketing,Instagram,Reforçar prova e diferença WMC1/WMC2,alta,pendente,Não prometer resultado garantido
2026-06-04,vespera_carrinho,Programação,Checkout,Teste final de compra,crítica,pendente,Usar link real em mobile
2026-06-04,vespera_carrinho,Coordenação,Compliance,Revisar mensagens de abertura,crítica,pendente,Checar claims e urgência permitida
2026-06-05,carrinho_aberto,Marketing,WhatsApp,Abrir carrinho primeiro no grupo,crítica,pendente,Enviar link da página
2026-06-05,carrinho_aberto,Marketing,Instagram,Liberar oferta publicamente após WhatsApp,alta,pendente,Reforçar que o grupo recebeu primeiro
2026-06-05,carrinho_aberto,Suporte,Atendimento,Responder dúvidas de compra,alta,pendente,Usar FAQ aprovado
2026-06-06,sustentacao_pos_abertura,Coordenação,Métricas,Revisar performance pós-abertura,alta,pendente,Medir vendas 24h checkout iniciado abandono e objeções
2026-06-06,sustentacao_pos_abertura,Marketing,Conteúdo,Publicar prova ou bastidor pós-abertura,alta,pendente,Mostrar aplicação sem promessa exagerada
2026-06-07,sustentacao_pos_abertura,Marketing,Remarketing,Ativar remarketing e recuperação de checkout,alta,pendente,FAQ prova e clareza de oferta
2026-06-08,sustentacao_pos_abertura,Coordenação,Otimização,Revisar página checkout e principal objeção,alta,pendente,Ação recomendada deve ser prova página checkout ou remarketing
